List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
3026,*,Stokes Valley School,(Merged into 2100)
3027,*,Strathmore Community School,Strathmore Park School; Merged into 660
3028,*,Sun Valley School,(Merged into 1647)
3029,,Tairangi School,
3030,,Taita Central School,
3031,,Avalon Intermediate,
3032,,Taitoko School,
3034,,Tawa Intermediate,
3035,,Tawa School,
3036,,Tawhai School,
3037,,Te Aro School,
3038,,Te Horo School (Otaki),
3039,*,Te Wharau School (Masterton),
3040,,Thorndon School,
3041,,Tinui School,
3042,*,Tiraumea School,
3043,,Titahi Bay Intermediate,
3044,,Titahi Bay North School,
3045,,Titahi Bay School,
3046,,Tokomaru School,
3047,*,Totara Drive School,(Merged into 1659)
3048,,Totara Park School,
3049,*,Trentham School (Closed),
3050,,Tua Marina School,
3051,,Tui Glen School,
3052,*,Tuturumuri School,Closed 2020
3053,,Upper Hutt School,
3054,*,Wa-Ora School,
3055,,Wadestown School,
3056,,Waikanae School,
3057,,Waikawa Bay School,
3058,*,Wainuiomata Intermediate (Closed),
3059,,Wainuiomata Primary School,Wainuiomata School
3060,,Wainuioru School,
3061,*,Waione School,
3062,,Wairau Valley School (Blenheim),
3063,*,Waitangirua Intermediate,
3064,,Waitaria Bay School,
3065,,Waitohu School,
3066,*,Waiwhetu School,
3067,,Ward School,
3068,,Waterloo School,
3069,*,Weraroa Hospital School,
3070,,Whareama School,
3071,,Whitney Street School,
3072,,Wilford School,
3073,,Otari School,
3074,,Windley School,
3075,,Witherlea School,
3076,*,Woodhatton School,
3077,,Worser Bay School,
3080,*,Homeleigh Christian School,
3100,,Te Kura Kaupapa Maori O Te Hiringa,
3101,,Te Kura-a-iwi o Whakatupuranga Rua Mano,Te Kura O Whakatupuranga Rua Mano; previously TKKM O Te Whakatupuranga Rua Mano
3102,,TKKM o Waiuku,
3103,,TKKM o Hurungaterangi,TKKM Ki Te Hurunga-Te-Rangi
3104,,TKKM o Te Kotuku,
3106,,Te Kura Kaupapa Maori O Whangaroa ,
3107,,TKKM o Te Ara Hou,
3113,,Te Wharekura o Manurewa,
3114,,TKKM o Pukemiro,Te Kura o Pukemiro
3115,,Te Wharekura o Te Rau Aroha,Te Kura O Te Rau Aroha
3117,,Te Kura Kaupapa Māori o Hokianga,"Te Kura Kaupapa Maori O Te Tonga O Hokianga, Te Tonga O Hokianga"
3118,,Te Kura Kaupapa Maori o Taumarunui,Te Kura o Nga Iwi e Toru ki Taumarunui
3119,,TKKM o Kawakawa mai Tawhiti,
3180,,Appleby School,
3181,,Auckland Point School,
3182,,Birchwood School,
3183,,Brightwater School,
3184,,Broadgreen Intermediate,
3185,,Brooklyn School (Motueka),
3186,,Canvastown School,
3187,,Clifton Terrace School,
3188,,Dovedale School,
3189,,Enner Glynn School,
3190,*,Foxhill School,
3191,*,French Pass School,
3192,,Granity School,
3193,,Hampden Street School,
3194,,Henley School (Nelson),
3195,,Hira School,
3196,,Hope School,Hope Public School
3197,*,Ikamatua School,
3198,*,Inangahua Junction School,Closed 2018
3199,,Lake Rotoiti School,
3200,,Lower Moutere School,
3201,,Mahana School,
3202,,Maitai School,
3203,,Mapua School,
3204,,Maruia School,
3206,,Motueka South School,
3207,,Motupipi School,
3208,,Nayland Primary School,
3209,,Nelson Central School,
3210,,Nelson Intermediate,
3211,*,Neudorf School,
3212,,Ngatimoti School,
3213,,Parklands School (Motueka),Parklands School
3214,,Ranzau School,
3215,*,Reefton School,
3216,,Richmond School (Nelson),
3217,,Riwaka School,
3218,*,Rockville School,
3219,,Sacred Heart School (Reefton),
3220,,St Canice's School (Westport),
3221,,St Joseph's School (Nelson),
3222,,St Peter Chanel School (Motueka),
3223,,Stoke School,
3224,,Tahunanui School,
3225,,Central Takaka School,
3226,,Takaka Primary School,
3228,,Tasman School,
3229,,Upper Moutere School,
3230,*,Upper Takaka School,
3231,,Victory Primary School,Victory School
3232,*,Waimangaroa School,
3233,,Waimea Intermediate,
3234,,Wakefield School,
3235,,Westport North School,
3236,,Westport South School,
3270,,Sacred Heart School (Christchurch),
3271,,Addington Te Kura Taumatua,Addington School
3272,*,Ahaura School,
3273,,Albury School,
3274,,Allenton School,
3275,,Pītau-Allenvale School,Allenvale Special School and Res Centre
3276,,Amberley School,
3278,*,Aorangi School (Christchurch),
3279,*,Aranui School (Christchurch),
3280,,Arowhenua Maori School,
3281,,Ashburton Borough School,
3282,,Ashburton Intermediate,
3283,,Ashburton Netherby School,
3284,,Ashgrove School,
3285,,Ashley Rakahuri School,Ashley School
3286,*,Avondale School (Christchurch),
3287,,Avonhead School,
3288,,Ngutuawa School,Bamford School
3289,,Banks Avenue School,
3290,,Barrytown School,
3291,,Beckenham Te Kura o Puroto,Beckenham School
3292,,Belfast School,
3293,,Bishopdale School,
3294,*,Blackball School,
3295,,Blaketown School,
3296,*,Bluecliffs School,
3297,*,Boddytown School,
3298,*,Branston Intermediate,
3299,,Breens Intermediate,
3300,*,Birch Grove School,
3301,,Broadfield School,
3302,,Bromley School,
3303,,Broomfield School,
3304,,Burnham School - Te Kura o Tiori,Burnham School
3305,,Burnside Primary School,
3306,*,Burwood School,(Merged into 685)
3307,,Cannington School,
3308,,Carew Peel Forest School,
3309,,Casebrook Intermediate,
3310,,Cashmere Primary Te Pae Kererū,Cashmere Primary School
3311,*,Central New Brighton School,(Merged into 696)
3312,*,Charwell Forks School,
3313,,Chertsey School,
3314,,Chisnallwood Intermediate,
3315,*,Cholmondeley Home School (Property),Cholmondeley Emergency Home
3316,,Christ The King School (Burnside),
3317,,Christchurch East School,
3318,,Christchurch South Karamata Intermediate School,Christchurch South Intermediate
3319,*,Clandeboye School,
3320,*,Claremont School,
3321,,Clarkville Te Kura ki Waimātao,Clarkville School
3322,,Cobden School,
3323,,Cobham Intermediate,
3324,,Cotswold School,
3325,,Cust School,
3326,,Darfield School,
3327,,Diamond Harbour School,
3328,*,Brunnerton Primary School,
3329,,Dorie School,
3331,,Dunsandel School,
3332,,Duvauchelle School,
3333,*,Eiffelton School,
3334,,Elmwood Normal School,
3335,,Fairlie School,
3336,,Fairton School,
3337,*,Fairview School,
3338,,Fendalton Open Air School,
3339,,Ferndale Te Ahu,Ferndale School (Christchurch)
3340,,Fernside School,
3341,*,Flemington School (Ashburton),
3342,,Fox Glacier School,
3343,,Franz Josef Glacier School,
3344,*,Freeville School,(Merged into 696)
3345,*,Geraldine Primary School (Closed),
3346,,Gilberthorpe School,
3347,,Gleniti School,
3348,,Glenavy School,
3349,*,Glenelg Health Camp School,
3350,*,Glenmoor School,
3351,*,Glenroy School,
3352,,Glentunnel School,
3354,,Governors Bay School,
3355,*,Grantlea School,
3356,*,Grays Corner School,
3357,,Greendale School,
3358,*,Greenpark School (Christchurch),
3359,,Greta Valley School,
3360,*,Greymouth Junior High School,
3361,,Greymouth Main School,
3363,,Haast School,
3365,*,Halkett Model School,
3366,,Halswell School,
3367,,Hampstead School,
3368,,Hanmer Springs School,
3369,,Hapuku School,
3370,,Harewood School,
3371,,Heathcote Valley School,
3372,,Heaton Normal Intermediate,
3373,,Highfield School,
3374,*,Hilton School,
3375,,Hinds School,
3376,,Hokitika School,
3377,*,Homebush School,
3378,*,Hook School,
3379,,Hoon Hay School,
3380,,Hornby Primary School,
3381,,Hororata School,
3382,*,Hunter School,
3383,*,Ikawai School,
3384,,Ilam School,
3385,,Isleworth School,
3386,*,Jacobs River School,
3387,,Kaingaroa School (Chatham Islands),
3388,,Kaiapoi Borough School,
3389,,Kaiapoi North School,
3390,*,Kaiata School,
3391,,Kaikoura Primary School,
3392,,Kaikoura Suburban School,
3393,,Kaniere School,
3394,,Karoro School,
3395,*,Kendal School,
3396,,Kirkwood Intermediate,
3397,,Kirwee Model School,
3398,,Kokatahi-Kowhitirangi School,Kokatahi School
3399,*,Kowhitirangi School,
3400,*,Kumara Junction School,
3401,,Kumara School,
3402,,Ladbrooks School,
3403,*,Ashburton Borough Lagmhor Site,
3404,*,Lake Brunner School,
3405,*,Lake Coleridge School,
3406,,Lake Tekapo School,
3407,,Lauriston School,
3408,*,Le Bons Bay School,
3410,,Leeston School,
3411,,Leithfield School,
3412,,Lincoln Primary School,
3413,,Linwood Avenue School,
3414,*,Linwood Intermediate,
3415,,Whītau School,Linwood North School until end of 2018
3416,*,Lismore School,
3417,*,Little Akaloa School,
3418,,Little River School,
3419,,Loburn School,
3420,*,Lowcliffe School,
3421,*,Lyndhurst School,
3422,*,Lynton Downs School,
3423,*,Lyttelton Main School,(Merged into 686)
3424,*,Lyttelton West School,(Merged into 686)
3425,,Mairehau Primary School,Mairehau School
3426,,Makikihi School,
3427,*,Manning Intermediate,
3428,*,Marchwiel School,
3429,,Marshland School,
3430,*,Maru School & Resource Centre,
3431,*,Maungati School,
3432,,Mayfield School (Mid-Canterbury),
3433,*,McKenzie Residential School,
3434,,Merrin School,
3435,*,Mesopotamia School,
3436,,Methven School,
3437,*,Milford School (Temuka),
3438,*,Montalto School,
3439,*,Moonlight School,
3440,*,Morven School,
3441,,Mt Somers Springburn School,
3442,,Aoraki Mount Cook School,Mt Cook School (South Canterbury)
3443,,Mt Pleasant School,
3444,*,Nelson Creek School,
3445,,New Brighton Catholic School (Chch),
3446,*,Ngahere School,
3447,,North Loburn School,
3448,*,North New Brighton School,(Merged into 696)
3449,,Te Kura o Matarangi - Northcote School,Northcote School (Christchurch)
3450,,Oaklands School,
3451,,Ohoka School,
3452,,Okains Bay School,
3454,,Omihi School,
3455,,Opawa School,
3456,*,Orari Bridge School,
3457,*,Orari School,
3458,*,Otaio School,
3459,*,Otira School,
3460,*,Our Lady of Fatima School (Chch),
3461,,Our Lady of the Assumption School (Chch),Our Lady of Assumption School (Chch)
3462,,Our Lady of the Snows School (Methven),Our Lady of Snows School (Methven)
3463,,Our Lady of Victories,
3464,,Ouruhia Model School,
3465,*,Owenga School,
3466,,Papanui Primary School,Papanui School
3467,,Paparoa Street School,
3468,*,Pareora East School,
3469,*,Beaconsfield School (Closed),
3470,,Parkview Pārua,Parkview School
3471,*,Parnassus School,
3472,,Paroa School (Greymouth),
3473,*,Peel Forest School,
3474,*,Phillipstown School,(Merged into 684)
3475,*,Pigeon Bay School,
3476,,Pitt Island School,
3477,,Pleasant Point Primary School,
3478,,Prebbleton School,
3479,,Queenspark School,
3480,,Rakaia School,
3481,,Rangiora Borough School,
3482,*,Rangitata Island School,
3483,,Te Raekura Redcliffs School,Redcliffs School
3484,,Redwood School (Christchurch),
3485,,Te Kāpehu Riccarton School,Riccarton School
3486,*,Richmond School (Christchurch),
3487,*,Rokeby School,
3488,,Rolleston School,
3489,,Ross School,
3490,,Rotherham School,
3491,*,Rotomanu School,
3492,,Te Kōmanawa Rowley School,Rowley School; previously Rowley Avenue School
3493,,Te Ara Maurea Roydvale School,Roydvale School
3494,*,Ruapuna School,
3495,,Runanga School,
3496,,Russley School,
3497,*,Sacred Heart School (Cobden),
3498,,Sacred Heart School (Timaru),
3499,*,Salisbury School (Timaru),
3500,*,Seadown School,
3501,,Sefton School,
3502,,Sheffield Contributing School,
3503,,Shirley Intermediate,
3504,,Shirley Primary School,Shirley School
3505,,Wigram Primary School – Te Piki Kāhu,Sockburn School
3506,,Somerfield Te Kura Wairepo,Somerfield School
3507,,South Hornby School,
3508,,South New Brighton School,
3509,,Southbridge School,
3510,,Southbrook School,
3511,*,Southburn School,
3512,,Spreydon School,
3513,*,Springbrook School,
3514,*,Springburn School,
3515,,Springfield School,
3516,,Springston School,
3517,,St Albans Catholic School (Christchurch),
3518,,St Albans School,
3519,,St Andrew's School (Timaru),
3520,,St Anne's School (Woolston),
3521,,St Bernadette's School (Hornby),
3523,,St James School (Aranui),
3525,*,St Joseph's School (Lyttelton)  (Closed),
3527,,St Joseph's School (Ashburton),
3528,,St Joseph's School (Pleasant Point),
3529,,St Joseph's School (Fairlie),
3530,,St Joseph's School (Kaikoura),
3531,,St Joseph's School (Papanui),
3532,,St Joseph's School (Temuka),
3533,,St Joseph's School (Timaru),
3534,,St Martins School,St Martin's School
3535,,St Mary's School (Christchurch),
3536,,St Mary's School (Hokitika),
3537,,St Patrick's School (Bryndwr),
3538,,St Patrick's School (Greymouth),
3539,,St Patrick's School (Waimate),
3540,,St Patrick's School (Kaiapoi),
3541,*,St Paul's School (Dallington),
3542,,St Peter's School (Beckenham),
3543,,St Teresa's School (Riccarton),
3544,,Our Lady Star of the Sea School (Christchurch),Star of the Sea School (Christchurch)
3545,*,Stillwater School,
3546,,Sumner School,
3547,,Swannanoa School,
3548,*,Sydenham School,
3549,,Tai Tapu School,
3551,*,Taylorville School,
3552,*,Te Moana School,
3553,,Te One School,
3554,,Waitaha School,Waitaha Learning Centre; previously Templeton Centre School
3555,,Templeton School,
3556,*,Temuka Primary School (Closed),
3557,,Te Kura o Huriawa Thorrington,Thorrington School
3558,*,Timaru Main School,
3559,*,Timaru South School,
3560,*,Timaru West School,
3561,,Tinwald School,
3562,*,Totara Flat School,(Merged into 2105)
3563,,Tuahiwi School,
3565,,View Hill School,
3566,,Waiau School,
3567,,Waihao Downs School,
3568,*,Waihaorunga School,
3569,,Waikari School,
3570,,Pegasus Bay School,Waikuku School
3571,,Waimairi School,
3572,,Waimataitai School,
3573,,Waimate Centennial School,
3574,,Waimate Main School,
3575,*,Wainoni School,
3576,,Waipara School,
3577,,Wairakei School (Christchurch),
3578,*,Waitaha Valley School,
3579,,Waituna Creek School,
3580,,Wakanui School,
3581,,Waltham School,
3582,*,Warren School,
3583,*,Washdyke School,
3584,*,Watlington Intermediate,
3585,,Weedons School,
3586,,West Eyreton School,
3587,,West Melton School,
3588,,West Spreydon School,West Spreydon School
3589,,Westburn School,
3590,*,Westerfield School,
3591,,Wharenui School,
3592,,Whataroa School,
3593,*,Willowbridge School,
3594,,Longbeach School,Willowby School
3595,*,Winchester School (Canterbury),
3596,*,Windsor School (Christchurch),(Merged into 685)
3597,,Windwhistle School,Lake Coleridge Windwhistle School
3598,*,Woodbank School,
3599,,Woodbury School,
3600,,Woodend School,
3601,*,Woolston School,(Merged into 684)
3602,,Yaldhurst Model School,
3605,*,Avon Christian College,
3608,,Puawai Montessori School,Opened 2022
3612,,Melville Year 7-13 College,Opening 2024
3700,,Abbotsford School,
3701,,Alexandra School,
3702,*,Allanton School,
3703,,Andersons Bay School,
3704,,Ardgowan School,
3705,*,Arthur Burns School (closed),(Merged into 1657)
3706,,Arthur Street School,
3707,,Fenwick School,
3708,*,Awamoko School,
3709,,Balaclava School,
3710,,Balclutha School,
3711,,Balmacewen Intermediate,
3712,*,Beaumont School,
3713,*,Becks School,
3714,*,Benhar School,
3715,*,Berwick School,
3716,,Bradford School,
3717,*,Brighton School (Merged),(Merged into 607)
3718,,Broad Bay School,
3719,,Brockville School,
3720,*,Casa Nova School,
3721,*,Cattle Creek School,
3722,*,Caversham School,(Merged into 648)
3723,,Clinton School,
3724,,Clutha Valley School,
3725,,Clyde School,
3726,*,College Street School,(Merged into 648)
3727,,Concord School,
3728,*,Corstorphine School,
3729,,Cromwell Primary School,
3730,*,Dunback School,
3731,,Dunedin North Intermediate,
3732,,Duntroon School,
3733,,East Taieri School,
3734,*,Enfield School,
3735,*,Ettrick School,
3736,,Fairfield School (Dunedin),
3737,,Pembroke School (Oamaru),Fernbrook School
3738,,Five Forks School,
3739,*,Flagswamp School,Closed 2020
3740,,George Street Normal School,
3741,,Goldfields School (Cromwell),Goldfields School
3742,,Grants Braes School,
3743,,Green Island School,
3744,*,Hakataramea Valley School,
3745,,Halfway Bush School,
3746,,Hampden School,
3747,,Hawea Flat School,
3748,*,Henley School (Otago),
3749,,Heriot School,
3750,*,High Street School,
3751,*,Hilderthorpe School,
3752,*,Hyde School,
3753,,Kaikorai School,
3754,,Kaitangata School,
3755,,Kakanui School,
3756,,Karitane School,
3757,*,Kauru Hill School,
3758,*,Kenmure Intermediate,
3761,,Lee Stream School,
3762,,Macandrew Bay School,
3763,*,Macandrew Intermediate,(Merged into 647)
3764,,Macraes Moonlight School,
3765,,Maheno School,
3766,*,Maia School,
3767,,Makarora Primary School,
3768,,Maori Hill School,
3769,*,Melville Park School,
3770,*,Milburn School,
3771,,Millers Flat School,
3772,,Milton School,
3773,*,Moa Creek School,
3774,*,Moeraki School,
3775,*,Momona School,
3776,,Mornington School,
3777,*,Mosgiel Intermediate,(Merged into 495)
3778,,Elmgrove School,
3779,,Musselburgh School,
3780,*,Naseby School,
3781,*,Ngapara School,
3782,*,North Taieri School,
3783,,North East Valley Normal School,
3784,,Oamaru Intermediate,
3785,,Te Pākihi o Maru,Oamaru North School
3786,*,Oamaru South School,
3787,*,Ocean View School (CLOSED),(Merged into 607)
3788,,Omakau School,
3789,,Omarama School,
3790,,Opoho School,
3791,*,Otekaieke School,
3792,*,Otematata School,
3793,*,Otepopo School,
3794,*,Oturehua School,
3795,,Outram School,
3796,*,Paerau School,
3797,,Palmerston School,
3798,,Papakaio School,
3799,*,Paretai School,
3800,*,Patearoa School,
3801,,Pine Hill School (Dunedin),Pine Hill School
3802,,Poolburn School,
3803,,Port Chalmers School,
3804,*,Port Molyneux School,
3805,,Portobello School,
3806,*,Pukeuri School,
3807,,Purakaunui School,Purakanui School
3808,,Ravensbourne School,
3809,*,Reid Park School,
3810,*,Calton Hill School,(Merged into 648)
3811,,Romahapa School,
3812,,Rosebank School (Balclutha),
3813,*,Rotary Park School,
3814,*,Health Camp School (Otago-Southland),
3815,,Sacred Heart School (Dunedin),
3816,,Sara Cohen School,
3817,,Sawyers Bay School,
3818,*,Seacliff School,
3819,,St Bernadette's School (Forbury),
3820,,St Brigids School (Tainui),
3821,*,St.Edmund's School (Dunedin),
3822,,St Francis Xavier School (Mornington),
3823,,St Gerard's School (Alexandra),
3824,,St John's School (Ranfurly),
3825,,St Joseph's School (Oamaru),
3826,,St Joseph's School (Balclutha),
3827,,St Joseph's Cathedral School,
3828,,St Joseph's School (Port Chalmers),
3829,,St Leonard's School (Dunedin),
3830,,St Mary's School (Dunedin),
3831,,St Mary's School (Milton),
3832,,St Mary's School (Mosgiel),
3833,*,St Patrick's School (Dunedin),
3834,,St Peter Chanel School (Green Island),
3835,,St Clair School,
3836,,Stirling School,
3837,,Strath Taieri School,
3838,,Tahakopa School,
3839,,Tahuna Normal Intermediate,
3840,,Taieri Beach School,
3841,,Tainui School,
3842,,Tapanui School,
3843,,Tarras School,
3844,,The Terrace School (Alexandra),
3845,,Tokoiti School,
3846,*,Tomahawk School,
3847,,Totara School,
3848,*,Tuapeka West School,
3849,*,Waianakarua School,
3850,,Waihola District School,
3851,,Waikoikoi School,
3852,,Waikouaiti School,
3853,*,Waipiata School,
3854,*,Waipori Falls School,
3855,,Waitahuna School,
3857,,Waitati School,
3858,,Waiwera South School,
3859,,Wakari School,
3860,*,Waldronville School,
3861,,Warepa School,
3862,,Warrington School,
3863,*,Wedderburn School,
3864,,Weston School,
3865,*,Wilden School,
3866,*,Windsor School (Oamaru),
3867,*,Wyllies Crossing School,
3930,,Arrowtown School,
3931,*,Athol School,
3932,,Balfour School,
3933,*,Blackmount School,
3934,*,Bluff School,
3935,,Hillside Primary School,
3936,*,Brydone School,
3937,*,Clarendon School,
3938,,Hauroko Valley Primary School,
3939,*,Clifton School (Invercargill),
3940,*,Colac Bay School,
3941,*,Collingwood Intermediate,
3942,*,Dacre School (CLOSED),
3943,,Dipton School,
3944,*,Drummond School,(Merged into 1650)
3945,*,Dunearn School,
3946,,East Gore School,
3947,,Edendale School (Southland),
3948,*,Elston Lea School,
3949,*,Fairfax School,
3950,*,Ferndale School (Gore),
3951,*,Five Rivers School,
3952,*,Fortrose School,
3953,,Garston School,
3954,,Glenham School,
3955,,Glenorchy School,
3956,,Gore Main School,
3957,,Gorge Road School,
3958,*,Grasmere School,
3959,*,Greenhills School,
3961,,Halfmoon Bay School,
3962,*,Hawthorndale School,
3963,,Heddon Bush School,
3964,,Hedgehope School,
3965,*,Hokonui School,
3966,,Invercargill Middle School,
3967,,Windsor North School,Invercargill North School
3968,*,Invercargill South School,
3969,*,Isla Bank School,Closed 2018
3970,*,Kaiwera School (Closed),
3972,*,Kew School,
3973,,Knapdale School,
3974,*,Konini School (Bluff),
3975,,Limehills School,
3976,*,Lithgow Intermediate,
3977,,Lochiel School,
3979,,Longford Intermediate,
3980,,Lumsden School,
3981,*,Willowbank School,
3982,,Makarewa School,
3983,*,Mandeville School,
3984,,Mararoa School,
3985,*,Mataura Island School,
3986,,Mataura School,
3987,*,Mimihau School,
3988,*,Mokoreta School,
3990,,Mossburn School,
3991,,Myross Bush School,
3992,*,Newfield School,
3993,*,Ohai School,
3994,*,Orawia School,
3995,*,Orepuki School,
3996,*,Oreti Plains School,(Merged into 1650)
3997,,Otama School,
3998,*,Otapiri School,
3999,*,Otara School,
4000,,Otatara School,
4001,,Otautau School,
4002,*,Pahia School,
4003,,Pukerau School,
4004,*,Quarry Hills School,
4005,,Queenstown Primary School,Queenstown School
4006,,Rimu School,
4007,,Riversdale School,
4008,,Riverton School,
4009,*,Rockdale Park School,
4010,*,Rosedale Intermediate,
4011,,Ruru Special School,
4012,*,Ryal Bush School,
4013,,Sacred Heart School (Waikiwi),
4014,,Salford School,
4016,,St Joseph's School (Queenstown),
4017,,St Joseph's School (Invercargill),
4018,,St Mary's School (Gore),
4019,,St Patrick's School (Nightcaps),
4020,,St Patrick's School (Invercargill),
4021,,St Teresa's School (Bluff),
4022,,St Theresa's School (Invercargill),
4023,,St Thomas School (Winton),
4024,*,St George Public School,
4025,*,Surrey Park School,
4026,,Te Anau School,
4027,,Te Tipua School,
4028,,Thornbury School,
4029,,Tisbury School,
4030,,Tokanui School,
4031,*,Tuatapere School,
4032,,Tuturau Primary School,
4033,*,Tweedsmuir Junior High School,
4034,,Waianiwa School,
4035,,Waihopai School,
4036,,Waikaia School,
4037,,Waikaka School,
4038,*,Waikaka Valley School,
4039,*,Waikiwi School,
4040,*,Waimahaka School,
4041,*,Waimatua School,
4042,*,Waimatuku School,
4043,*,Waimumu School,
4044,*,Waipahi School,
4046,,Wallacetown School,
4047,,Waverley Park School,
4048,*,Wendon School,
4049,*,Wendonside School,
4050,,West Gore School,
4051,*,West Plains School,
4052,,Winton School,
4053,,Woodlands Full Primary School,
4054,,Wyndham School,
4100,,Balmoral S D A School,
4101,,Carncot Independent School,Carncot School and Stanford Junior Prep; previously Carncot School
4102,*,Childrens Learning Group School,
4103,*,Hutt Valley Christian School (Merged),Wainuiomata Christian Secondary School; Merged into 611
4104,,Hadlow Preparatory School,
4105,,Hamilton Seventh-Day Adventist School,
4106,*,Hamilton Christian School (Primary),
4107,,Parkside Christian S D A School,Hawke’s Bay Adventist School
4108,,Hereworth School,
4109,,Hohepa School,Hohepa Home School (Napier)
4110,*,Hohepa Home School (Christchurch),
4111,,Huntley School (Marton),Huntley School
4112,,Southland Adventist Christian School,Invercargill SDA School
4113,*,Kadimah College (Primary),
4114,*,Kaitaia S.D.A. School,
4115,*,Kapiti Christian School,
4116,,King's School (Remuera),Kings School (Remuera)
4117,,Liberton Christian School,
4118,,Medbury Preparatory School,
4119,,Miramar Christian School,
4120,*,Nelson Christian Academy,
4121,,Nelson College For Girls Prep School,
4122,,Nelson College (Prep.Dept.),
4123,,New Plymouth Adventist Christian School,New Plymouth S D A School
4124,*,North Shore S.D.A. School,
4125,,Southcity Christian School,South City Christian School
4126,,Palmerston North Adventist Christian School,Palmerston North S D A School
4127,*,Richmond View Primary School,
4128,*,Raphael House Rudolf Steiner School,
4129,,Rotorua S D A School,
4130,,St George's School,St George's Preparatory School
4131,,St John's Girls' School (Invercargill),
4132,,St Joseph's School (Rangiora),
4133,,Saint Kentigern Boys' School,St Kentigern Primary School (Remuera)
4134,,St Mark's Church School (Mt Victoria),
4135,,St Mark's School (Christchurch),
4136,,St Michael's Church School,St Michael's Church Day School
4137,*,St Raphaels School (Carterton),
4138,,Selwyn House School,
4139,*,Silverstream Christian School (Closed),
4140,,South Auckland S D A School,
4141,,Southwell School,
4142,*,Hill Top School,
4143,,Tamariki School,
4144,,Tauranga Adventist School,
4145,,Te Pi'ipi'inga Kakano Mai Rangiatea,
4146,,Timatanga Community School,
4147,,Waihi School,
4148,*,Wanganui Adventist School,
4149,,Wellesley College,
4150,,Wellington S D A School,
4151,,Waitakere S D A School,West Auckland SDA School
4152,*,West City Christian College,
4153,*,Westminster Christian School (clsd),
4154,,Whangarei Adventist Christian School,
4156,,Blind and Low Vision Education Network NZ,Homai National School for the Blind
4157,,Westbridge Residential School,Glenburn Residential School
4158,,Hutt International Boys' School,
4159,*,Rudolf Steiner School (Belmont),
4160,,TKKM o Te Atihaunui-A-Paparangi,
4161,*,Bethlehem College,
4202,*,Dargaville Christian School,
4203,*,Te Kura Kaupapa Maori O Hoani Waititi,
4204,,Hare Krishna School,
4205,,TKKM o Piripono Te Kura Whakahou ki Ōtara,Te Kura Kaupapa Maori O Otara
4206,*,TKKM Pumau Ki Te Reo o Ngapuhi,Te Kura Kaupapa Maori o Waipareira
4207,,Te Kura Kaupapa Maori O Nga Maungarongo,
4208,,Te Kura Kaupapa Maori O Mangere,
4209,,Te Kura Kaupapa Maori O Manawatu,
4210,*,Te Kura Kaupapa Maori O Wairarapa (clsd),
4211,,Te Kura Kaupapa Maori O Te Rito,
4212,,Te Kura Kaupapa Maori O Waitaha,
4213,*,Nelson Haven Christian School,
4214,*,Hokitika Christian School,
4215,*,Founders School,
4216,*,Tara School,
4217,,Te Wharekura o Arowhenua,
4218,,Te Kura Kaupapa Maori O Tokomaru,
4219,*,Marsden Christian School,
4220,*,Kaitaia Abundant Life School (closed),
4221,*,Amworth School,
4222,*,Kings Christian School (Secondary),
4223,,Te Kura Kaupapa Maori O Tamarongo,
4224,*,Al-Madinah School,
4225,*,Kingsway Secondary School,
4226,,Te Kura Kaupapa Maori O Tamaki Nui A Rua,
4227,,Te Kura Kaupapa Maori O Kaikohe,
4228,,TKKM o Puau Te Moananui-a-Kiwa,Previously Te KKM o Puau Te Moananui-a-Kiwa; Te Kura Kaupapa Puau Te Moana-Nui-A-Kiwa
4229,,Te Kura Kaupapa Maori O Manurewa,
4230,,TKKM o Whakarewa I Te Reo Ki Tuwharetoa,
6070,,Golden Sands School,
6741,,Te Matauranga,
6742,,Tahatai Coast School,
6759,,Snells Beach Primary School,
6760,,Somerville Intermediate School,
6763,,Whangaparaoa College,
6783,,Remarkables Primary School,Frankton Primary School
6788,,Hobsonville Point Primary School,
6920,,Gulf Harbour School,
6921,,Point View School,
6922,,Waiheke Primary School,
6929,,Alfriston College,
6930,,Botany Downs Secondary College,
6931,*,Hibiscus Coast Intermediate School,
6932,,Pinehill School (Browns Bay),Pinehill School
6937,,Summerland Primary,
6939,,Kohia Terrace School,
6940,,Te Akau ki Papamoa Primary School,
6941,,Endeavour School,Endeavour Avenue Primary School
6944,,Randwick Park School,
6945,,Selwyn Ridge School,
6946,,Oteha Valley School,Oteha Valley Primary School
6947,,The Gardens School,
6948,,Albany Junior High School,
6955,,Upper Harbour Primary School,
6959,,Willowbank School (Howick),
6960,,Baverstock Oaks School,
6962,,Te Wharekura o Mauao,
6963,,Papamoa College,
6967,,Lemonwood Grove School,
6975,,Garin College,
6976,,Rototuna Primary School,
6977,,Hobsonville Point Secondary School,
6978,,Reremoana Primary School,
6980,,Clearview Primary,
,,,
